,Winter,Spring,Summer,Fall,period,rcp,zone
CNRM-CM5,11.518901207901962,20.573518960107865,28.667908829660295,20.524424791590878,2010-2039,rcp85,Recharge Zone
CSIRO-Mk3-6-0,11.636010447139775,21.71468466841592,29.46032350051774,21.549047438081697,2010-2039,rcp85,Recharge Zone
GFDL-ESM2G,12.088188715897996,21.60006639325126,29.515098663002806,21.648376108905456,2010-2039,rcp85,Recharge Zone
GFDL-ESM2M,11.63188658286671,20.615440987433775,28.76902564503877,21.006948366464503,2010-2039,rcp85,Recharge Zone
HadGEM2-CC365,12.533853252487182,21.816988608859507,29.719586245277736,22.449710190984312,2010-2039,rcp85,Recharge Zone
HadGEM2-ES365,12.336387586990254,21.355355271794895,29.96055751135315,22.41273304059372,2010-2039,rcp85,Recharge Zone
inmcm4,11.436580090355704,20.85348509801184,28.22150234273812,20.592183760542856,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-LR,11.866442320339226,21.240515721664703,29.627913918852467,21.53501543558805,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-MR,12.305319018077471,21.487977527249356,30.09871976710169,22.156857992130043,2010-2039,rcp85,Recharge Zone
IPSL-CM5B-LR,11.643044789651102,20.966888871372145,28.89671289773308,21.013195583154143,2010-2039,rcp85,Recharge Zone
MIROC-ESM-CHEM,12.084020369740418,21.45853779527619,28.955513096746657,21.573192697772893,2010-2039,rcp85,Recharge Zone
MIROC-ESM,11.510199021584178,21.38687335349082,28.731165221961856,21.08574998576726,2010-2039,rcp85,Recharge Zone
MIROC5,11.756398303684344,21.728133654026916,29.474540466311325,21.376259116527308,2010-2039,rcp85,Recharge Zone
MRI-CGCM3,10.95252331267028,20.580018706243333,28.95443163304233,20.223257741546448,2010-2039,rcp85,Recharge Zone
NorESM1-M,12.155919902146982,21.63808950495362,29.5260219271789,21.699357894308147,2010-2039,rcp85,Recharge Zone
bcc-csm1-1-m,13.103873909714073,22.426908512756214,30.195180286765957,22.497480771313928,2040-2069,rcp85,Recharge Zone
bcc-csm1-1,12.669118696595032,23.064793246230455,30.658911379667938,22.51540078293358,2040-2069,rcp85,Recharge Zone
BNU-ESM,13.459903467958355,23.43264123355699,31.55463864142392,24.43629372606687,2040-2069,rcp85,Recharge Zone
CanESM2,13.411932951960067,23.24503613889044,31.666709314750506,23.876386943035282,2040-2069,rcp85,Recharge Zone
CCSM4,13.042324323631329,22.705984589645592,30.529417594403117,22.951054879937534,2040-2069,rcp85,Recharge Zone
CNRM-CM5,13.289809946920995,22.387349476451327,29.843177309778547,22.519125441289123,2040-2069,rcp85,Recharge Zone
CSIRO-Mk3-6-0,13.089247281687655,22.61725351293694,31.115042809352712,22.493682288674474,2040-2069,rcp85,Recharge Zone
GFDL-ESM2G,12.589879549445701,23.163792047615125,30.932208956094758,23.023099388806195,2040-2069,rcp85,Recharge Zone
GFDL-ESM2M,12.381661453870555,22.01874541891066,30.285377693496326,22.425179269941516,2040-2069,rcp85,Recharge Zone
HadGEM2-CC365,14.098236579535222,23.19540075372058,30.787882718509348,23.631349153588847,2040-2069,rcp85,Recharge Zone
HadGEM2-ES365,13.735342721665505,23.494466066243945,31.59286945208776,23.772781530763137,2040-2069,rcp85,Recharge Zone
