macamodel,rcp,zone,period,season,seasonal mean T (oC)
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Fall,21.013195583154143
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Fall,21.573192697772893
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Fall,21.08574998576726
MIROC5,rcp85,Recharge Zone,2010-2039,Fall,21.376259116527308
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Fall,20.223257741546448
NorESM1-M,rcp85,Recharge Zone,2010-2039,Fall,21.699357894308147
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Fall,22.497480771313928
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Fall,22.51540078293358
BNU-ESM,rcp85,Recharge Zone,2040-2069,Fall,24.43629372606687
CanESM2,rcp85,Recharge Zone,2040-2069,Fall,23.876386943035282
CCSM4,rcp85,Recharge Zone,2040-2069,Fall,22.951054879937534
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Fall,22.519125441289123
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Fall,22.493682288674474
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Fall,23.023099388806195
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Fall,22.425179269941516
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Fall,23.631349153588847
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Fall,23.772781530763137
inmcm4,rcp85,Recharge Zone,2040-2069,Fall,22.119805100707676
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Fall,23.20770140170636
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Fall,23.954971709374163
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Fall,22.578374320120734
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Fall,23.15732813711672
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Fall,23.144199746043583
MIROC5,rcp85,Recharge Zone,2040-2069,Fall,23.061885019578494
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Fall,21.827575785712106
NorESM1-M,rcp85,Recharge Zone,2040-2069,Fall,23.09071373356006
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Fall,23.68943183069573
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Fall,24.097758971899058
BNU-ESM,rcp85,Recharge Zone,2070-2099,Fall,26.39076090733391
CanESM2,rcp85,Recharge Zone,2070-2099,Fall,25.552890256324506
CCSM4,rcp85,Recharge Zone,2070-2099,Fall,24.219554443255852
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Fall,24.164493152712712
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Fall,24.945985700012283
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Fall,24.529986391290663
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Fall,24.190634187905555
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Fall,26.062961857773512
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Fall,25.63605730425515
inmcm4,rcp85,Recharge Zone,2070-2099,Fall,23.731930377783932
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Fall,25.983646235542103
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Fall,26.648052780482836
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Fall,23.794443190984307
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Fall,25.640270978828543
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Fall,25.111364796360657
MIROC5,rcp85,Recharge Zone,2070-2099,Fall,25.173752149609445
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Fall,23.19833112523974
NorESM1-M,rcp85,Recharge Zone,2070-2099,Fall,25.209197016168893
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Fall,18.907826745541904
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Fall,19.050862514384978
BNU-ESM,rcp45,Contributing Zone,1971-2000,Fall,18.976370645179784
CanESM2,rcp45,Contributing Zone,1971-2000,Fall,18.9462280068704
CCSM4,rcp45,Contributing Zone,1971-2000,Fall,19.009732479946823
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Fall,18.951859289623005
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Fall,18.773580344155015
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Fall,18.896976907439466
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Fall,18.8011089090271
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Fall,18.73840108984963
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Fall,18.66718335066082
inmcm4,rcp45,Contributing Zone,1971-2000,Fall,18.889952686307275
IPSL-CM5A-LR,rcp45,Contributing Zone,1971-2000,Fall,19.115891872571424
IPSL-CM5A-MR,rcp45,Contributing Zone,1971-2000,Fall,18.932502391071473
IPSL-CM5B-LR,rcp45,Contributing Zone,1971-2000,Fall,18.769650668389826
MIROC-ESM-CHEM,rcp45,Contributing Zone,1971-2000,Fall,18.97822744978386
MIROC-ESM,rcp45,Contributing Zone,1971-2000,Fall,18.737857195919425
MIROC5,rcp45,Contributing Zone,1971-2000,Fall,19.145037053605805
MRI-CGCM3,rcp45,Contributing Zone,1971-2000,Fall,18.73665452650854
NorESM1-M,rcp45,Contributing Zone,1971-2000,Fall,18.738185104519108
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,Fall,18.892868977321456
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,Fall,18.874778187095213
BNU-ESM,rcp45,Contributing Zone,1950-2005,Fall,18.877318223649468
CanESM2,rcp45,Contributing Zone,1950-2005,Fall,18.88034211035562
CCSM4,rcp45,Contributing Zone,1950-2005,Fall,18.82269195671281
CNRM-CM5,rcp45,Contributing Zone,1950-2005,Fall,18.84840794345076
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,Fall,18.861617981936348
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,Fall,18.795656043076104
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,Fall,18.81970509326191
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,Fall,18.894019846431764
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,Fall,18.882136034663187
inmcm4,rcp45,Contributing Zone,1950-2005,Fall,18.820037212146552
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,Fall,18.866168720058635
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,Fall,18.872166990629694
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,Fall,18.857069942486074
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,Fall,18.829268786880895
MIROC-ESM,rcp45,Contributing Zone,1950-2005,Fall,18.827754020356632
MIROC5,rcp45,Contributing Zone,1950-2005,Fall,18.888659000469165
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,Fall,18.83604477253474
NorESM1-M,rcp45,Contributing Zone,1950-2005,Fall,18.868146366201106
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,Fall,19.856406412887235
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,Fall,19.69290275307865
BNU-ESM,rcp45,Contributing Zone,2010-2039,Fall,20.79154829619902
CanESM2,rcp45,Contributing Zone,2010-2039,Fall,21.069766377646012
CCSM4,rcp45,Contributing Zone,2010-2039,Fall,20.243941705758196
CNRM-CM5,rcp45,Contributing Zone,2010-2039,Fall,19.961965503331747
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,Fall,20.36342867615074
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,Fall,20.379647512825645
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,Fall,19.982475028891866
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,Fall,21.06345395488553
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,Fall,20.673913911839062
inmcm4,rcp45,Contributing Zone,2010-2039,Fall,19.463623140877484
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,Fall,20.974539053570094
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,Fall,20.244666125385248
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,Fall,19.96148289484539
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,Fall,20.396360056045804
MIROC-ESM,rcp45,Contributing Zone,2010-2039,Fall,19.789755102696212
MIROC5,rcp45,Contributing Zone,2010-2039,Fall,20.64367273895481
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,Fall,19.188013468286382
NorESM1-M,rcp45,Contributing Zone,2010-2039,Fall,20.189853518371976
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,Fall,20.655927498794192
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,Fall,20.868317197024258
BNU-ESM,rcp45,Contributing Zone,2040-2069,Fall,22.168353880727718
CanESM2,rcp45,Contributing Zone,2040-2069,Fall,21.82992789776696
CCSM4,rcp45,Contributing Zone,2040-2069,Fall,20.928662149883635
CNRM-CM5,rcp45,Contributing Zone,2040-2069,Fall,20.62946530479871
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,Fall,21.04098455263277
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,Fall,21.130285420095106
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,Fall,20.52296410168869
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,Fall,21.86932064861376
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,Fall,21.938360463988992
inmcm4,rcp45,Contributing Zone,2040-2069,Fall,19.952952839590367
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,Fall,21.744211608209262
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,Fall,21.86558801310525
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,Fall,20.81832685512078
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,Fall,21.427946336758687
MIROC-ESM,rcp45,Contributing Zone,2040-2069,Fall,21.134816321496775
MIROC5,rcp45,Contributing Zone,2040-2069,Fall,21.494241831839314
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,Fall,19.727586174959697
NorESM1-M,rcp45,Contributing Zone,2040-2069,Fall,21.414406871477695
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,Fall,20.988882233915948
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,Fall,21.249604338395613
BNU-ESM,rcp45,Contributing Zone,2070-2099,Fall,22.68499757623572
CanESM2,rcp45,Contributing Zone,2070-2099,Fall,22.572060706803907
CCSM4,rcp45,Contributing Zone,2070-2099,Fall,21.3748708876178
CNRM-CM5,rcp45,Contributing Zone,2070-2099,Fall,20.906312335308993
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,Fall,21.81482652116299
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,Fall,21.181695938352508
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,Fall,20.83519626381777
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,Fall,23.038085807031766
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,Fall,22.160338910159034
inmcm4,rcp45,Contributing Zone,2070-2099,Fall,20.375194685363805
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,Fall,22.145335237771146
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,Fall,22.14786652963581
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,Fall,21.183487495803643
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,Fall,22.396308457048402
MIROC-ESM,rcp45,Contributing Zone,2070-2099,Fall,21.651545311022453
MIROC5,rcp45,Contributing Zone,2070-2099,Fall,21.87633233957066
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,Fall,20.025564357320597
NorESM1-M,rcp45,Contributing Zone,2070-2099,Fall,21.459298277216146
bcc-csm1-1-m,rcp85,Contributing Zone,1971-2000,Fall,18.907826745541904
bcc-csm1-1,rcp85,Contributing Zone,1971-2000,Fall,19.050862514384978
BNU-ESM,rcp85,Contributing Zone,1971-2000,Fall,18.976370645179784
CanESM2,rcp85,Contributing Zone,1971-2000,Fall,18.9462280068704
CCSM4,rcp85,Contributing Zone,1971-2000,Fall,19.009732479946823
CNRM-CM5,rcp85,Contributing Zone,1971-2000,Fall,18.951859289623005
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1971-2000,Fall,18.773580344155015
GFDL-ESM2G,rcp85,Contributing Zone,1971-2000,Fall,18.896976907439466
GFDL-ESM2M,rcp85,Contributing Zone,1971-2000,Fall,18.8011089090271
HadGEM2-CC365,rcp85,Contributing Zone,1971-2000,Fall,18.73840108984963
HadGEM2-ES365,rcp85,Contributing Zone,1971-2000,Fall,18.66718335066082
inmcm4,rcp85,Contributing Zone,1971-2000,Fall,18.889952686307275
IPSL-CM5A-LR,rcp85,Contributing Zone,1971-2000,Fall,19.115891872571424
IPSL-CM5A-MR,rcp85,Contributing Zone,1971-2000,Fall,18.932502391071473
IPSL-CM5B-LR,rcp85,Contributing Zone,1971-2000,Fall,18.769650668389826
MIROC-ESM-CHEM,rcp85,Contributing Zone,1971-2000,Fall,18.97822744978386
MIROC-ESM,rcp85,Contributing Zone,1971-2000,Fall,18.737857195919425
MIROC5,rcp85,Contributing Zone,1971-2000,Fall,19.145037053605805
MRI-CGCM3,rcp85,Contributing Zone,1971-2000,Fall,18.73665452650854
NorESM1-M,rcp85,Contributing Zone,1971-2000,Fall,18.738185104519108
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,Fall,18.892868977321456
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,Fall,18.874778187095213
BNU-ESM,rcp85,Contributing Zone,1950-2005,Fall,18.877318223649468
CanESM2,rcp85,Contributing Zone,1950-2005,Fall,18.88034211035562
CCSM4,rcp85,Contributing Zone,1950-2005,Fall,18.82269195671281
CNRM-CM5,rcp85,Contributing Zone,1950-2005,Fall,18.84840794345076
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,Fall,18.861617981936348
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,Fall,18.795656043076104
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,Fall,18.81970509326191
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,Fall,18.894019846431764
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,Fall,18.882136034663187
inmcm4,rcp85,Contributing Zone,1950-2005,Fall,18.820037212146552
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,Fall,18.866168720058635
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,Fall,18.872166990629694
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,Fall,18.857069942486074
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,Fall,18.829268786880895
MIROC-ESM,rcp85,Contributing Zone,1950-2005,Fall,18.827754020356632
MIROC5,rcp85,Contributing Zone,1950-2005,Fall,18.888659000469165
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,Fall,18.83604477253474
NorESM1-M,rcp85,Contributing Zone,1950-2005,Fall,18.868146366201106
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,Fall,19.997820914820995
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,Fall,20.32571527963027
BNU-ESM,rcp85,Contributing Zone,2010-2039,Fall,21.03076558246563
CanESM2,rcp85,Contributing Zone,2010-2039,Fall,20.78247362451319
CCSM4,rcp85,Contributing Zone,2010-2039,Fall,20.19192071231696
CNRM-CM5,rcp85,Contributing Zone,2010-2039,Fall,19.40398862556507
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,Fall,20.42856493097465
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,Fall,20.499150425299014
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,Fall,19.901344859331964
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,Fall,21.35337655190361
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,Fall,21.296791788228727
inmcm4,rcp85,Contributing Zone,2010-2039,Fall,19.480642528917727
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,Fall,20.41577821075641
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,Fall,20.96752708930523
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,Fall,19.88395236684282
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,Fall,20.482466333115344
MIROC-ESM,rcp85,Contributing Zone,2010-2039,Fall,19.985078881753715
MIROC5,rcp85,Contributing Zone,2010-2039,Fall,20.249828769457704
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,Fall,19.084142317531963
NorESM1-M,rcp85,Contributing Zone,2010-2039,Fall,20.59488302841275
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,Fall,21.37655022418433
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,Fall,21.411403311953617
BNU-ESM,rcp85,Contributing Zone,2040-2069,Fall,23.294450870165935
CanESM2,rcp85,Contributing Zone,2040-2069,Fall,22.761479987079557
CCSM4,rcp85,Contributing Zone,2040-2069,Fall,21.810989767368763
CNRM-CM5,rcp85,Contributing Zone,2040-2069,Fall,21.409549901964574
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,Fall,21.383893360107933
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,Fall,21.87973570957643
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,Fall,21.322153299033136
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,Fall,22.48592980618929
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,Fall,22.68842502337143
inmcm4,rcp85,Contributing Zone,2040-2069,Fall,21.023579430991912
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,Fall,22.102826187329587
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,Fall,22.767691526215398
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,Fall,21.443721345612115
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,Fall,22.062905134541648
MIROC-ESM,rcp85,Contributing Zone,2040-2069,Fall,22.05405732540495
MIROC5,rcp85,Contributing Zone,2040-2069,Fall,21.967503078723745
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,Fall,20.697138192840175
NorESM1-M,rcp85,Contributing Zone,2040-2069,Fall,21.97736174324358
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,Fall,22.580379473689806
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,Fall,23.004644690805428
BNU-ESM,rcp85,Contributing Zone,2070-2099,Fall,25.245189464144186
CanESM2,rcp85,Contributing Zone,2070-2099,Fall,24.440711671961743
CCSM4,rcp85,Contributing Zone,2070-2099,Fall,23.078857329017485
CNRM-CM5,rcp85,Contributing Zone,2070-2099,Fall,23.05706618304207
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,Fall,23.86322564387543
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,Fall,23.400802879864283
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,Fall,23.122033500726722
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,Fall,24.911523982505045
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,Fall,24.495576355205774
inmcm4,rcp85,Contributing Zone,2070-2099,Fall,22.6343339774748
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,Fall,24.897198710596278
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,Fall,25.478851774788478
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,Fall,22.675998176196305
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,Fall,24.576176723514287
MIROC-ESM,rcp85,Contributing Zone,2070-2099,Fall,24.045422528740378
MIROC5,rcp85,Contributing Zone,2070-2099,Fall,24.10875789996431
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,Fall,22.072935441346747
NorESM1-M,rcp85,Contributing Zone,2070-2099,Fall,24.097109004882462
