macamodel,rcp,zone,period,season,seasonal mean T (oC)
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,Winter,9.476762145676156
MIROC-ESM,rcp45,Contributing Zone,1950-2005,Winter,9.462864300650454
MIROC5,rcp45,Contributing Zone,1950-2005,Winter,9.442127456325197
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,Winter,9.463674173897394
NorESM1-M,rcp45,Contributing Zone,1950-2005,Winter,9.408790668295206
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,Winter,10.614042824196765
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,Winter,10.21756973230067
BNU-ESM,rcp45,Contributing Zone,2010-2039,Winter,10.755519528228128
CanESM2,rcp45,Contributing Zone,2010-2039,Winter,10.887139283167295
CCSM4,rcp45,Contributing Zone,2010-2039,Winter,10.695986272857796
CNRM-CM5,rcp45,Contributing Zone,2010-2039,Winter,10.463345657681037
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,Winter,10.538585299289824
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,Winter,11.246822705120703
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,Winter,9.910472864446586
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,Winter,11.151195493187279
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,Winter,10.42666198534123
inmcm4,rcp45,Contributing Zone,2010-2039,Winter,9.889729613252054
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,Winter,10.940346341439056
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,Winter,11.268920544336911
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,Winter,10.595518163251654
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,Winter,10.458196531864646
MIROC-ESM,rcp45,Contributing Zone,2010-2039,Winter,10.420101821111153
MIROC5,rcp45,Contributing Zone,2010-2039,Winter,10.43209085374277
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,Winter,10.259228837606146
NorESM1-M,rcp45,Contributing Zone,2010-2039,Winter,9.900085048045964
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,Winter,11.25608171608036
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,Winter,10.78090243092616
BNU-ESM,rcp45,Contributing Zone,2040-2069,Winter,11.627117872966604
CanESM2,rcp45,Contributing Zone,2040-2069,Winter,11.821472960679161
CCSM4,rcp45,Contributing Zone,2040-2069,Winter,11.170393994078896
CNRM-CM5,rcp45,Contributing Zone,2040-2069,Winter,11.306587320034613
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,Winter,11.499829043061148
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,Winter,11.048985933902468
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,Winter,10.671653892650813
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,Winter,12.45539678850301
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,Winter,12.121611613403308
inmcm4,rcp45,Contributing Zone,2040-2069,Winter,10.61865826676746
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,Winter,11.581203842867446
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,Winter,12.380126957637781
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,Winter,10.85365318603096
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,Winter,11.727156154128036
MIROC-ESM,rcp45,Contributing Zone,2040-2069,Winter,11.342714365139734
MIROC5,rcp45,Contributing Zone,2040-2069,Winter,12.088041631151494
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,Winter,10.61490525816375
NorESM1-M,rcp45,Contributing Zone,2040-2069,Winter,11.628091171503876
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,Winter,10.572026886038193
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,Winter,10.70449188458324
BNU-ESM,rcp45,Contributing Zone,2070-2099,Winter,11.959914056384884
CanESM2,rcp45,Contributing Zone,2070-2099,Winter,12.25987156616374
CCSM4,rcp45,Contributing Zone,2070-2099,Winter,11.847482755589011
CNRM-CM5,rcp45,Contributing Zone,2070-2099,Winter,11.994198320996514
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,Winter,11.934822742741051
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,Winter,10.739215250890933
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,Winter,10.95415903729997
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,Winter,12.501585543526183
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,Winter,12.76088501536874
inmcm4,rcp45,Contributing Zone,2070-2099,Winter,11.058310519587012
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,Winter,12.254228268939318
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,Winter,13.070999965357862
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,Winter,11.771651553415843
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,Winter,12.21375509051055
MIROC-ESM,rcp45,Contributing Zone,2070-2099,Winter,12.190656247031626
MIROC5,rcp45,Contributing Zone,2070-2099,Winter,12.008450689154317
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,Winter,10.772884273063159
NorESM1-M,rcp45,Contributing Zone,2070-2099,Winter,12.315976265652335
bcc-csm1-1-m,rcp85,Contributing Zone,1971-2000,Winter,9.558143028379702
bcc-csm1-1,rcp85,Contributing Zone,1971-2000,Winter,9.200459820320889
BNU-ESM,rcp85,Contributing Zone,1971-2000,Winter,9.729962312296419
CanESM2,rcp85,Contributing Zone,1971-2000,Winter,9.537024016551081
CCSM4,rcp85,Contributing Zone,1971-2000,Winter,9.731794411243197
CNRM-CM5,rcp85,Contributing Zone,1971-2000,Winter,9.425678681879782
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1971-2000,Winter,9.021256760803679
GFDL-ESM2G,rcp85,Contributing Zone,1971-2000,Winter,9.46482066218435
GFDL-ESM2M,rcp85,Contributing Zone,1971-2000,Winter,9.461881666760663
HadGEM2-CC365,rcp85,Contributing Zone,1971-2000,Winter,9.194834803859754
HadGEM2-ES365,rcp85,Contributing Zone,1971-2000,Winter,9.10926764339945
inmcm4,rcp85,Contributing Zone,1971-2000,Winter,9.477260438608562
IPSL-CM5A-LR,rcp85,Contributing Zone,1971-2000,Winter,9.680826699514876
IPSL-CM5A-MR,rcp85,Contributing Zone,1971-2000,Winter,9.505142614814183
IPSL-CM5B-LR,rcp85,Contributing Zone,1971-2000,Winter,9.443536957130652
MIROC-ESM-CHEM,rcp85,Contributing Zone,1971-2000,Winter,9.417653978635899
MIROC-ESM,rcp85,Contributing Zone,1971-2000,Winter,9.607786358017915
MIROC5,rcp85,Contributing Zone,1971-2000,Winter,9.558772710046448
MRI-CGCM3,rcp85,Contributing Zone,1971-2000,Winter,9.380099528517304
NorESM1-M,rcp85,Contributing Zone,1971-2000,Winter,9.350540144804278
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,Winter,9.425581571591593
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,Winter,9.446868911305263
BNU-ESM,rcp85,Contributing Zone,1950-2005,Winter,9.420700286070055
CanESM2,rcp85,Contributing Zone,1950-2005,Winter,9.434839726368542
CCSM4,rcp85,Contributing Zone,1950-2005,Winter,9.464241245615556
CNRM-CM5,rcp85,Contributing Zone,1950-2005,Winter,9.45688534518809
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,Winter,9.438654246098622
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,Winter,9.500150981390126
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,Winter,9.475133868364228
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,Winter,9.397360979081686
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,Winter,9.42749707993991
inmcm4,rcp85,Contributing Zone,1950-2005,Winter,9.508985262755107
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,Winter,9.441457977551556
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,Winter,9.41615973030859
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,Winter,9.456430077709612
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,Winter,9.476762145676156
MIROC-ESM,rcp85,Contributing Zone,1950-2005,Winter,9.462864300650454
