macamodel,rcp,zone,period,annual mean T(oC)
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,23.36148457291658
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,25.40750239386972
MIROC-ESM,rcp85,Recharge Zone,2070-2099,24.869758447402685
MIROC5,rcp85,Recharge Zone,2070-2099,24.718286495683422
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,23.202126096601276
NorESM1-M,rcp85,Recharge Zone,2070-2099,24.44615532345465
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,20.395216341372176
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,20.52341337428141
BNU-ESM,rcp45,Contributing Zone,2070-2099,21.868119470910276
CanESM2,rcp45,Contributing Zone,2070-2099,21.771247106477396
CCSM4,rcp45,Contributing Zone,2070-2099,20.977580304170584
CNRM-CM5,rcp45,Contributing Zone,2070-2099,20.703688044441336
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,21.466984398686115
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,20.80928869900599
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,20.310310105196674
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,21.78709059139278
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,21.6087310944142
inmcm4,rcp45,Contributing Zone,2070-2099,19.942989559365977
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,21.700953433481814
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,22.047044221412833
