,Winter,Spring,Summer,Fall,period,rcp,zone
IPSL-CM5B-LR,4.516651355596741,7.44288420819919,8.575728296498104,8.700502115322344,1971-2000,rcp45,Contributing Zone
MIROC-ESM-CHEM,4.276516742263649,8.015613303985035,9.069610656678082,8.662069651432747,1971-2000,rcp45,Contributing Zone
MIROC-ESM,4.23935639796256,8.204420695404128,8.754946237776787,9.457952119510994,1971-2000,rcp45,Contributing Zone
MIROC5,4.02913200788031,7.407963649447763,8.739785956244997,7.744628948696259,1971-2000,rcp45,Contributing Zone
MRI-CGCM3,4.486420802830169,7.825027297265037,9.103469014774745,8.17749115667881,1971-2000,rcp45,Contributing Zone
NorESM1-M,4.659904288390277,8.205177631903737,8.89640132752302,8.23040967353618,1971-2000,rcp45,Contributing Zone
bcc-csm1-1-m,4.336688908331394,7.949492789177437,8.816551445937325,8.758011505776409,1950-2005,rcp45,Contributing Zone
bcc-csm1-1,4.3810516556950665,7.938105981209291,8.983064558817869,8.535035992065145,1950-2005,rcp45,Contributing Zone
BNU-ESM,4.398431561872767,8.05114328754609,8.68985248176561,8.711193096550693,1950-2005,rcp45,Contributing Zone
CanESM2,4.338503973266959,7.945360537275796,8.93932016777407,8.618934267013424,1950-2005,rcp45,Contributing Zone
CCSM4,4.302129957514248,8.05865700500548,8.835729222112672,8.646781056430854,1950-2005,rcp45,Contributing Zone
