macamodel,rcp,zone,period,season,seasonal mean P (in)
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,Winter,4.39780192663574
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,Winter,4.316998252403791
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,Winter,4.336655811899807
MIROC-ESM,rcp45,Contributing Zone,1950-2005,Winter,4.355743617281173
MIROC5,rcp45,Contributing Zone,1950-2005,Winter,4.359079380744494
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,Winter,4.325862603535763
NorESM1-M,rcp45,Contributing Zone,1950-2005,Winter,4.334697471163977
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,Winter,4.32700850216617
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,Winter,4.939955599325943
BNU-ESM,rcp45,Contributing Zone,2010-2039,Winter,4.7549558576013125
CanESM2,rcp45,Contributing Zone,2010-2039,Winter,3.6413933998605876
CCSM4,rcp45,Contributing Zone,2010-2039,Winter,3.9941575301216297
CNRM-CM5,rcp45,Contributing Zone,2010-2039,Winter,4.603088530461361
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,Winter,4.1788433384740955
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,Winter,3.1719582160844517
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,Winter,5.078887732464224
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,Winter,3.703354947441081
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,Winter,4.3484268047265795
inmcm4,rcp45,Contributing Zone,2010-2039,Winter,3.6444755398942625
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,Winter,3.802542084559349
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,Winter,4.751608777539163
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,Winter,4.770184335116296
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,Winter,3.8936621468723627
MIROC-ESM,rcp45,Contributing Zone,2010-2039,Winter,4.36603157038787
MIROC5,rcp45,Contributing Zone,2010-2039,Winter,4.664276131021928
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,Winter,3.7165763838297803
NorESM1-M,rcp45,Contributing Zone,2010-2039,Winter,4.794325687510658
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,Winter,4.893624490300069
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,Winter,4.746791659276879
BNU-ESM,rcp45,Contributing Zone,2040-2069,Winter,4.4633135247094735
CanESM2,rcp45,Contributing Zone,2040-2069,Winter,3.5128918128183075
CCSM4,rcp45,Contributing Zone,2040-2069,Winter,3.7218746815102453
CNRM-CM5,rcp45,Contributing Zone,2040-2069,Winter,4.5769626743205025
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,Winter,4.698749649932148
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,Winter,3.556890385882798
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,Winter,4.281780656383321
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,Winter,4.420104066972746
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,Winter,4.960972895547831
inmcm4,rcp45,Contributing Zone,2040-2069,Winter,4.4818725939890145
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,Winter,3.415772231951813
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,Winter,3.217343745132901
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,Winter,4.565251712986982
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,Winter,4.891588663149095
MIROC-ESM,rcp45,Contributing Zone,2040-2069,Winter,4.0979697592985564
MIROC5,rcp45,Contributing Zone,2040-2069,Winter,4.201283140058934
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,Winter,3.688591730346319
NorESM1-M,rcp45,Contributing Zone,2040-2069,Winter,4.462990305285672
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,Winter,4.885282303389927
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,Winter,5.244015673335514
BNU-ESM,rcp45,Contributing Zone,2070-2099,Winter,4.528014566725837
CanESM2,rcp45,Contributing Zone,2070-2099,Winter,3.9849511290114195
CCSM4,rcp45,Contributing Zone,2070-2099,Winter,4.360370085140961
CNRM-CM5,rcp45,Contributing Zone,2070-2099,Winter,3.911702491151849
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,Winter,4.35650442891275
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,Winter,4.068154636137895
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,Winter,4.113261575365478
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,Winter,4.351587696922813
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,Winter,3.737908963309699
inmcm4,rcp45,Contributing Zone,2070-2099,Winter,4.393699583743637
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,Winter,3.1142530043999384
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,Winter,2.8847650724714073
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,Winter,5.038849599235155
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,Winter,5.301966621904356
MIROC-ESM,rcp45,Contributing Zone,2070-2099,Winter,3.8059107025371794
MIROC5,rcp45,Contributing Zone,2070-2099,Winter,4.281929557970209
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,Winter,3.7844683091936755
NorESM1-M,rcp45,Contributing Zone,2070-2099,Winter,3.8947886764290613
bcc-csm1-1-m,rcp85,Contributing Zone,1971-2000,Winter,4.383408537658836
bcc-csm1-1,rcp85,Contributing Zone,1971-2000,Winter,4.747754113985529
BNU-ESM,rcp85,Contributing Zone,1971-2000,Winter,4.511296395534841
CanESM2,rcp85,Contributing Zone,1971-2000,Winter,4.270364072873348
CCSM4,rcp85,Contributing Zone,1971-2000,Winter,4.269865874501526
CNRM-CM5,rcp85,Contributing Zone,1971-2000,Winter,4.52601166260831
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1971-2000,Winter,4.538583120510754
GFDL-ESM2G,rcp85,Contributing Zone,1971-2000,Winter,4.0801870345156805
GFDL-ESM2M,rcp85,Contributing Zone,1971-2000,Winter,4.299889621209374
HadGEM2-CC365,rcp85,Contributing Zone,1971-2000,Winter,4.542095323988233
HadGEM2-ES365,rcp85,Contributing Zone,1971-2000,Winter,4.7976846502820925
inmcm4,rcp85,Contributing Zone,1971-2000,Winter,4.771545201325091
IPSL-CM5A-LR,rcp85,Contributing Zone,1971-2000,Winter,4.410066785619101
IPSL-CM5A-MR,rcp85,Contributing Zone,1971-2000,Winter,4.276661061669448
IPSL-CM5B-LR,rcp85,Contributing Zone,1971-2000,Winter,4.516651355596741
MIROC-ESM-CHEM,rcp85,Contributing Zone,1971-2000,Winter,4.276516742263649
MIROC-ESM,rcp85,Contributing Zone,1971-2000,Winter,4.23935639796256
MIROC5,rcp85,Contributing Zone,1971-2000,Winter,4.02913200788031
MRI-CGCM3,rcp85,Contributing Zone,1971-2000,Winter,4.486420802830169
NorESM1-M,rcp85,Contributing Zone,1971-2000,Winter,4.659904288390277
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,Winter,4.336688908331394
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,Winter,4.3810516556950665
BNU-ESM,rcp85,Contributing Zone,1950-2005,Winter,4.398431561872767
CanESM2,rcp85,Contributing Zone,1950-2005,Winter,4.338503973266959
CCSM4,rcp85,Contributing Zone,1950-2005,Winter,4.302129957514248
CNRM-CM5,rcp85,Contributing Zone,1950-2005,Winter,4.365725545885191
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,Winter,4.3518290377748015
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,Winter,4.291862483701287
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,Winter,4.335217182193985
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,Winter,4.332591606805146
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,Winter,4.262537129804622
inmcm4,rcp85,Contributing Zone,1950-2005,Winter,4.402451275158427
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,Winter,4.40982976856993
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,Winter,4.39780192663574
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,Winter,4.316998252403791
